Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket
2295,Wixom,0.23076923076923073,0.18315431685242722,0.20248661402287124,0.13521507564108487,0.1,0.0,0.0,46.1931545,-86.97252072,0.0,0.027763226820324775,3.0,Upper-Middle,Low
2300,Wolverine Lake,0.4193548387096774,0.2735422783125543,0.15917886524297598,0.19914985319014955,0.1,0.0,0.0,46.1714855,-86.97059567,0.0,0.01047668936616029,3.0,Upper-Middle,Low
3005,Armada,0.3473945409429281,0.372104001906312,0.13643193688199523,0.18867153958440996,1.0,0.4,0.0,42.666965,-82.76867109,0.0,0.17810371922472498,163.0,High,Low
3010,Armada Twp,0.446650124069479,0.37193764921162314,0.17958399163932107,0.0044113754086467834,0.25,0.0,0.0,42.842363,-82.9458392,0.0,0.02619172341540073,157.0,High,Low
3015,Bruce Twp,0.4218362282878413,0.40552740548244537,0.0686166932062331,0.013374900943124969,1.0,0.25,0.0,42.7783355,-83.02650117,0.0,0.1584599266631744,163.0,High,Low
3025,Chesterfield Twp,0.36724565756823824,0.28682801379378564,0.19034282635280794,0.12053673320413395,0.30000000000000004,0.05,0.0,42.816605,-82.94736705,0.0,0.0500261917234154,163.0,Upper-Middle,Low
3035,Eastpointe,0.23325062034739452,0.13764111878931207,0.435365503395463,0.4977320943866017,0.30000000000000004,0.0,0.0,42.8110415,-82.93160622,0.0,0.03300157150340492,163.0,Middle,Moderate
3040,Fraser,0.36228287841191087,0.15077848565095608,0.24382960786868274,0.26226226425862453,1.0,0.2,0.0,42.8151395,-82.96764171,0.0,0.13436354112100574,163.0,Upper-Middle,Moderate
3050,Harrison Twp,0.4491315136476427,0.22570463854257056,0.2873150556357915,0.11880395263283156,1.0,0.15000000000000002,0.0,42.827462,-82.9693135,0.0,0.12441068622315347,161.0,Upper-Middle,Low
3055,Lenox Twp,0.29776674937965264,0.20599858825010453,0.17726675472612516,0.009676962255176676,0.45,0.05,0.0,42.809636,-82.88259743,0.0,0.05866946045049764,145.0,Upper-Middle,Low
3060,Macomb Twp,0.33746898263027314,0.4080496720154304,0.08734098884866937,0.18768127963657513,0.7000000000000001,0.2,0.0,43.179732,-84.11870404,0.0,0.14222105814562597,145.0,High,Low
3085,Ray Twp,0.5334987593052111,0.3809431748186981,0.17159595629209715,0.004924843331236304,0.1,0.0,0.0,43.177665,-82.86984888,0.0,0.01047668936616029,151.0,High,Low
3090,Richmond(Macomb),0.2803970223325062,0.15346260885985463,0.563434782986695,0.15827044016999747,0.35000000000000003,0.1,0.0,42.1060615,-84.00457652,0.0,0.05500261917234153,161.0,Upper-Middle,Low
3110,Shelby Twp,0.4590570719602979,0.27876215611076394,0.1579290667056068,0.16797949663595127,0.05,0.0,0.0,43.5950015,-86.19329861,0.0,0.01545311681508643,127.0,Upper-Middle,Low
3120,St.Clair Shores,0.41439205955335,0.20281990297591485,0.17904717359275038,0.3734245915150337,0.75,0.1,0.0,43.2935605,-84.58253381,0.0,0.16291251964379252,57.0,Upper-Middle,Moderate
3125,Utica,0.4416873449131514,0.12562775662151165,0.1602640622266331,0.21673525388025588,0.0,0.0,0.0,43.298946,-84.51825808,0.0,0.0,57.0,Middle,Low
3130,Warren,0.2704714640198511,0.1625715428987632,0.30378997016509707,0.30032725440637525,0.0,0.0,0.0,45.081241,-84.15568667,0.0,0.01257202723939235,119.0,Upper-Middle,Moderate
3135,Washington Twp,0.4218362282878413,0.3299358418120754,0.1502572818502546,0.05267244179394707,0.0,0.0,0.0,45.08161,-84.16275019,0.0,0.01257202723939235,119.0,High,Low
4005,Ann Arbor,0.017369727047146455,0.24056847661395836,0.5530846122529602,0.3117447513242805,0.05,0.0,0.0,42.343569,-83.60184408,0.0,0.06574122577265584,163.0,Upper-Middle,Moderate
4010,Ann Arbor Twp,0.4962779156327545,0.5052221258075974,0.13822534763683691,0.017383965584259854,0.9500000000000001,0.15000000000000002,0.0,42.3341235,-84.05280134,0.0,0.1364588789942378,163.0,High,Low
4015,Augusta Twp,0.39950372208436746,0.3591239957018061,0.07355038055187037,0.011557895485411734,0.25,0.0,0.0,42.347853,-83.98015962,0.0,0.031691985332634884,163.0,High,Low
4018,Barton Hills,0.5285359801488835,1.0,0.0,0.044553877602161104,0.1,0.0,0.0,42.3285895,-84.09949335,0.0,0.04033525405971713,163.0,High,Low
4020,Bridgewater Twp,0.687344913151365,0.32975600106106046,0.19357314043530147,0.00017273783086595943,0.1,0.0,0.0,42.3287195,-84.09048521,0.0,0.015976951283394446,163.0,High,Low
4025,Chelsea,0.5905707196029778,0.19836434836951883,0.08341830260590179,0.1085265308163559,0.1,0.0,0.0,42.3248155,-84.11222546,0.0,0.035620743844945,163.0,Upper-Middle,Low
4030,Dexter,0.3796526054590571,0.33989901941830514,0.04179100412598119,0.17653734068654012,0.9500000000000001,0.30000000000000004,0.0,42.3057525,-84.06596608,0.0,0.17731796752226295,125.0,High,Low
4035,Dexter Twp,0.5955334987593054,0.46077898021302144,0.14554448605879575,0.012265395994412141,0.9500000000000001,0.30000000000000004,0.0,42.3187255,-84.03944903,0.0,0.14038763750654792,163.0,High,Low
4040,Freedom Twp,0.6625310173697273,0.3855381060071307,0.12334779717736659,0.0,1.0,0.30000000000000004,0.0,42.312376,-84.05028113,0.0,0.1754845468831849,151.0,High,Low
4045,Lima Twp,0.3200992555831266,0.38715217674749014,0.04555681571171265,0.005721197781999515,0.1,0.0,0.0,42.2954305,-84.08882061,0.0,0.02540597171293871,163.0,High,Low
4050,Lodi Twp,0.41439205955335,0.460473250936296,0.08133743067656819,0.011156427891927972,0.2,0.05,0.0,42.1367925,-84.02865652,0.0,0.03719224724986904,161.0,High,Low
4055,Lyndon Twp,0.5657568238213401,0.4078878153395169,0.06422727098611022,0.0028599280505019345,0.2,0.05,0.0,42.132139,-84.01278508,0.0,0.030906233630172864,151.0,High,Low
4075,Northfield Twp,0.3052109181141439,0.28168007229598196,0.11305328562692998,0.014631401516292022,0.0,0.0,0.0,44.1754185,-83.73416393,0.0,0.0007857517024620219,69.0,Upper-Middle,Low
4085,Salem Twp,0.37468982630272973,0.36796766463296754,0.132678601730763,0.012462350766473881,0.0,0.0,0.0,43.4406945,-82.73691702,0.0,0.0007857517024620219,151.0,High,Low
4090,Saline,0.47146401985111674,0.28360886435061755,0.12502621757151192,0.15476623995707503,0.0,0.0,0.0,43.457717,-82.73005228,0.0,0.0007857517024620219,151.0,Upper-Middle,Low
4095,Saline Twp,0.3523573200992557,0.2996326752660519,0.1141439979653618,0.002200829554985827,0.30000000000000004,0.0,0.0,43.856162,-85.82506817,0.0,0.03850183342063907,85.0,Upper-Middle,Low
4100,Scio Twp,0.4069478908188585,0.49315481141449247,0.1399849274460357,0.03793400879405335,0.05,0.0,0.0,43.1448085,-84.49496585,0.0,0.005238344683080146,57.0,High,Low
4105,Sharon Twp,0.5533498759305212,0.3513503792391837,0.1169082707057476,0.0010269127160781664,0.05,0.0,0.0,43.8416845,-85.8489995,0.0,0.011524358302776322,85.0,High,Low
4110,Superior Twp,0.2853598014888338,0.32390668063429834,0.27808726573506054,0.028867251805160667,0.0,0.0,0.0,43.8629195,-86.24768682,0.0,0.0,105.0,Upper-Middle,Low
4120,Webster Twp,0.511166253101737,0.5782689428511054,0.08557538068552015,0.011059239361764658,0.0,0.05,0.0,43.130732,-84.56070276,0.0,0.0107386066003143,57.0,High,Low
4125,York Twp,0.46898263027295284,0.5155494809346324,0.09234621871572093,0.01691405313865373,0.0,0.05,0.0,43.1214995,-84.56324176,0.0,0.012310110005238344,57.0,High,Low
4130,Ypsilanti,0.0,0.0744495749014248,0.6157384362217161,0.3397516199396636,0.0,0.05,0.0,43.1234205,-84.58504747,0.0,0.009167103195390255,57.0,Middle,Moderate
4135,Ypsilanti Twp,0.1761786600496279,0.1851955093764472,0.35761478622875165,0.1278996907231243,0.0,0.05,0.0,43.138194,-84.55039047,0.0,0.006024096385542167,57.0,Upper-Middle,Low
5010,Bedford Twp,0.456575682382134,0.26430745574793524,0.17895894509814586,0.05819034467793035,1.0,0.6000000000000001,0.0,41.962944,-83.37182844,0.0,0.20220010476689362,163.0,Upper-Middle,Low
5015,Berlin Twp(Monroe),0.29776674937965264,0.32910857435740654,0.17524381979461173,0.01714105676536739,0.35000000000000003,0.0,0.0,41.812267,-83.44175582,0.0,0.16238868517548452,163.0,High,Low
5020,Carleton,0.29280397022332505,0.16295370449467,0.25935005429519453,0.1975288233081794,1.0,0.65,0.0,41.9431205,-83.34650981,0.0,0.17365112624410683,163.0,Upper-Middle,Low
5025,Dundee,0.22828784119106715,0.1954689122781777,0.11998170767666348,0.07740711183350422,1.0,0.30000000000000004,0.0,41.9416335,-83.32999596,0.0,0.1519119958093242,163.0,Upper-Middle,Low
5030,Dundee Twp,0.39702233250620356,0.3812399120578728,0.017259182269201145,0.0019851436395371125,1.0,0.9500000000000001,1.0,42.417267,-83.06949844,0.0,0.3905185961236249,163.0,High,Low
5040,Estral Beach,0.446650124069479,0.1613171536604337,0.28135864675157063,0.06570618458798051,1.0,0.15000000000000002,0.10526315789473684,42.277877,-83.55984239,0.0,0.14562598218962805,161.0,Upper-Middle,Low
