Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id
2015,Berkley,37.7,113103,0.047065116,9.086746988,13,3,0,42.860937,-83.60848827,1,,163
2020,Beverly Hills,45.5,175460,0.022126437,4.07248062,14,12,0,42.5744455,-83.39531244,1,1.31,163
2025,Bingham Farms,67.3,218750,0.273802116,2.131612903,9,0,0,42.7968105,-83.55970558,1,0.42,163
2030,Birmingham,41.1,153125,0.048842829,7.016883117,8,1,0,42.8309845,-83.57296431,1,,163
2035,Bloomfield Hills,49,200318,0.035793631,1.370186335,17,7,0,42.8323815,-83.62597253,1,0.984,163
2040,Bloomfield Twp,48.3,157300,0.050406541,2.648975904,20,13,1,42.62858,-83.35287844,1,1.788,163
2045,Brandon Twp,43,96772,0.052285714,0.625401786,17,13,1,42.798431,-83.25950671,1,1.242,163
2050,Clarkston,57.1,94519,0.022565321,2.520958084,20,6,1,42.3046485,-83.54233534,1,3.068,163
2055,Clawson,40.8,86630,0.053798878,8.024113475,20,14,4,42.2959965,-83.53230113,1,3.142,163
2060,Commerce Twp,42,114127,0.051708913,2.138287293,18,17,12,42.365763,-83.04429118,1,3.176,163
2065,Farmington,39.6,94115,0.040491875,6.748235294,20,17,2,42.3297585,-83.04346308,1,7.642,163
2072,Farmington Hills,41.4,101863,0.063056102,3.911549296,1,0,0,43.3847925,-84.53809526,1,0.046,57
2075,Ferndale,35.6,91732,0.079251398,7.724193548,2,0,0,42.170528,-83.98208096,1,0.098,161
2080,Franklin,49.6,176571,0.022605364,1.526315789,20,17,7,42.353727,-83.0320485,1,6.484,163
2085,Groveland Twp,50.3,103464,0.039075773,0.255627706,20,15,6,42.3527105,-83.03564843,1,6.452,163
2090,Hazel Park,36.5,62878,0.136385024,8.302777778,0,0,0,46.0908725,-88.75578937,1,0.006,71
2095,Highland Twp,44.1,100563,0.084896761,0.828225108,3,1,0,44.7802075,-85.76527809,1,,89
2100,Holly,43.4,61221,0.099779024,3.000502513,0,0,0,43.750152,-85.63244053,1,,123
2105,Holly Twp,42,94704,0.118192352,0.29,9,2,0,44.9778105,-85.71448764,1,1.004,89
2110,Huntington Woods,43.8,188229,0.01645049,6.668776371,3,0,0,44.171861,-85.93919293,1,0.414,101
2115,Independence Twp,42,114675,0.050545962,1.582284483,0,0,0,44.595152,-85.07330861,1,0.006,79
2120,Keego Harbor,41.4,70185,0.084964906,7.567493113,1,0,0,44.2604085,-85.97956244,1,,101
2125,Lake Angelus,65.4,212368,0.083032491,0.263809524,5,1,0,43.723477,-85.81347917,1,0.276,123
2130,Lake Orion,43.8,98871,0.08381295,3.332946636,0,0,0,44.066624,-85.57308366,1,,85
2135,Lathrup Village,47.1,99286,0.056471764,4.195854922,0,0,0,43.7140295,-85.75010655,1,,123
2140,Leonard,39.3,91250,0.036211699,0.565354331,0,0,0,43.689122,-85.68157824,1,0.024,123
2145,Lyon Twp,37.7,145000,0.048892796,1.179950739,0,0,0,43.695049,-86.24270504,1,,127
2150,Madison Heights,40.8,66726,0.113295781,6.257929515,0,0,0,43.6839885,-86.27471088,1,0.012,127
2155,Milford,42.1,102521,0.086276962,3.991975309,0,0,0,43.7443885,-85.56545223,1,0.03,123
2160,Milford Twp,45,121683,0.030282702,0.505167464,0,0,0,44.5299355,-84.04860724,1,,135
2170,Novi,39.9,110938,0.047350381,3.3112,0,0,0,43.6638245,-85.71139919,1,,123
2172,Novi Twp,46.5,159375,0.012875536,3.396501458,0,0,0,43.656986,-85.70978905,1,0.012,123
2175,Oakland Twp,43.2,169765,0.02394226,0.855276596,2,1,0,43.6879595,-85.76636484,1,0.144,123
2180,Oak Park,37.9,65882,0.142140126,8.981651376,3,1,0,43.7063135,-85.8113649,1,0.172,123
2185,Orchard Lake Village,51.4,212813,0.118363795,0.883846154,0,0,0,43.6499135,-85.72761043,1,,123
2190,Orion Twp,42,115469,0.040641196,1.604072398,2,1,0,43.6724385,-85.77676792,1,0.132,123
2195,Ortonville,42.5,101667,0.124907613,2.144215531,2,1,0,43.6585275,-85.80977319,1,0.156,123
2200,Oxford,43.1,88214,0.073690271,3.719786096,0,0,0,43.6507405,-85.70859318,1,,123
2205,Oxford Twp,39,113580,0.05613646,0.873778802,0,0,0,43.6739665,-85.64432142,1,0.03,123
2210,Pleasant Ridge,45.5,161058,0.020353303,7.221606648,0,0,0,43.671703,-85.61178103,1,,123
2215,Pontiac,35.5,42791,0.256289491,4.762615385,0,0,0,43.644928,-85.67117419,1,,123
2220,Auburn Hills,36.2,78727,0.112075049,2.328130841,0,0,0,43.6413475,-85.66136529,1,0.006,123
2230,Rochester,39.4,104920,0.044355472,5.28122449,0,0,0,43.634831,-85.61158868,1,0.006,123
