Tract Code (id),Center of Tract,City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Moques,# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques
3040,"42.81513949999999, -82.96764170804082",Fraser,41.6,61118,0.103522248,5.490225564,,20.0,4.0,0.0
3050,"42.827462, -82.96931350082397",Harrison Twp,45.1,77783,0.12123857,2.51922675,,20.0,3.0,0.0
3055,"42.809636, -82.88259743413496",Lenox Twp,39.0,73400,0.076404005,0.259224138,,9.0,1.0,0.0
3060,"43.179732, -84.11870404401635",Macomb Twp,40.6,118340,0.039767523,3.945665236,,,,
3070,"43.166967, -84.69415787083398",Mount Clemens,42.4,57663,0.143075959,5.786988848,,,,
3075,"43.096346, -82.76513350966877",New Baltimore,42.9,97027,0.048697528,4.088135593,,,,
3080,"43.166264, -82.82643433343006",New Haven,31.1,68203,0.177416811,3.914197531,,,,
3085,"43.177665, -82.8698488834884",Ray Twp,48.5,112311,0.074093676,0.160808511,,,,
3090,"42.106061499999996, -84.0045765243486",Richmond(Macomb),38.3,61715,0.233731973,3.336571429,,,,
3095,"43.3590305, -82.72879687340377",Richmond Twp,42.1,130547,0.07079646,0.145958333,,,,
3100,"43.15669899999999, -84.64955690545064",Romeo,44.6,73500,0.101392758,2.810769231,,,,
3105,"43.348001499999995, -82.69139849228853",Roseville,40.0,61222,0.117861017,7.486529319,,,,
3110,"43.595001499999995, -86.19329861438476",Shelby Twp,45.5,89584,0.068525675,3.537644444,,,,
3115,"43.3152395, -84.49842187714879",Sterling Heights,41.5,78429,0.106093055,5.679702128,,,,
3120,"43.2935605, -84.58253380736531",St.Clair Shores,43.7,72693,0.077129362,7.792379679,,,,
3125,"43.298946, -84.51825808445003",Utica,44.8,55524,0.069476971,4.547368421,,,,
3130,"45.081241, -84.15568666832469",Warren,37.9,63741,0.127950583,6.278545455,,,,
3135,"45.08161, -84.16275019202634",Washington Twp,44.0,100966,0.065400128,1.14965368,,,,
4005,"42.343568999999995, -83.60184407875116",Ann Arbor,27.7,81089,0.22951523,6.515,,1.0,0.0,0.0
4010,"42.33412349999999, -84.05280134116583",Ann Arbor Twp,47.0,139953,0.060498221,0.418834951,,19.0,3.0,0.0
4015,"42.34785299999999, -83.98015962388592",Augusta Twp,43.1,107458,0.034149118,0.298177966,,5.0,0.0,0.0
4018,"42.32858949999999, -84.09949334926472",Barton Hills,48.3,250001,0.0041841,0.981519507,,2.0,0.0,0.0
4020,"42.328719500000005, -84.09048520545073",Bridgewater Twp,54.7,100926,0.083047358,0.062393162,,2.0,0.0,0.0
4025,"42.3248155, -84.11222546077434",Chelsea,50.8,71702,0.038169389,2.306382979,,2.0,0.0,0.0
4030,"42.3057525, -84.06596608481111",Dexter,42.3,103182,0.021210092,3.714876033,,19.0,6.0,0.0
4035,"42.31872549999999, -84.03944902739727",Dexter Twp,51.0,130068,0.063480097,0.312830189,,19.0,6.0,0.0
4040,"42.312376, -84.05028113301941",Freedom Twp,53.7,113333,0.054436987,0.058815789,,20.0,6.0,0.0
4045,"42.295430499999995, -84.08882061037916",Lima Twp,39.9,113692,0.022744314,0.177300885,,2.0,0.0,0.0
4050,"42.1367925, -84.02865651858873",Lodi Twp,43.7,130000,0.037321625,0.289863636,,4.0,1.0,0.0
4055,"42.132138999999995, -84.01278507675106",Lyndon Twp,49.8,118304,0.030350808,0.118044444,,4.0,1.0,0.0
4060,"43.124016999999995, -84.79130405912721",Manchester,44.2,81393,0.064869419,1.660839161,,,,
4065,"43.336631, -82.85524207286242",Manchester Twp,49.0,104380,0.090622182,0.095641026,,,,
4075,"44.1754185, -83.73416393439717",Northfield Twp,39.3,90233,0.05024292,0.361829787,,,,
4080,"43.432565, -82.71518437481882",Pittsfield Twp,37.4,96057,0.077615085,2.250517241,,,,
4085,"43.44069449999999, -82.73691701963509",Salem Twp,42.1,109425,0.058238432,0.316909091,,,,
4090,"43.457716999999995, -82.73005228140207",Saline,46.0,90662,0.055120789,3.264,,,,
4095,"43.856162, -85.82506817484472",Saline Twp,41.2,94226,0.050687285,0.104394619,,,,
4100,"43.144808499999996, -84.4949658454949",Scio Twp,43.4,137269,0.061215088,0.844423077,,,,
4105,"43.84168449999999, -85.84899950013893",Sharon Twp,49.3,105729,0.051813472,0.080082988,,,,
4110,"43.862919500000004, -86.2476868201767",Superior Twp,38.5,99625,0.117479094,0.656651982,,,,
4115,"43.125021, -84.51345779353214",Sylvan Twp,45.9,94079,0.022809124,0.15369863,,,,
